time,genome_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
60.0000,7766538202907104195,0.1397,0.0000,0.0000,0.1268,0.0000,0.1433,0.1135,0.4000,0.1613,0.5000,0.4779,0.8354,0.7025,0.0000,0.3772,0.1250
60.0000,17394865196644710845,0.0330,0.0000,0.0000,0.0694,0.5000,0.1195,0.1166,0.1895,0.5000,0.5000,0.9170,0.0901,0.0687,0.0000,0.3926,0.1250
60.0000,11544017260763422468,0.0340,0.1878,0.0000,0.0346,0.0000,0.0585,0.0546,0.4000,0.1613,0.5000,0.5536,0.6163,0.2330,0.0000,0.4325,0.1132
60.0000,16398808283122196086,0.0705,0.0821,0.0743,0.1278,0.5000,0.0914,0.0768,0.4000,0.1613,0.5000,0.1850,0.6631,0.1422,0.0000,0.4129,0.1368
60.0000,5997399367599108588,0.0507,0.0000,0.0000,0.0877,0.0000,0.0227,0.0152,0.1895,0.5000,0.5000,0.5512,0.5482,0.0962,0.0000,0.4095,0.0403
60.0000,2994518356802114516,0.0972,0.2223,0.0000,0.1092,0.0000,0.0912,0.0545,0.1895,0.5000,0.5000,0.8315,0.2673,0.3213,0.0000,0.4186,0.1241
60.0000,12476379856100494902,0.0211,0.1765,0.0000,0.1586,0.0000,0.0930,0.0695,0.4000,0.1613,0.5000,0.4620,0.6145,0.0684,0.0000,0.3523,0.1350
60.0000,8784935590451291964,0.0705,0.0821,0.0743,0.1278,0.5000,0.0716,0.0569,0.4000,0.1613,0.5000,0.1733,0.7383,0.0720,0.0000,0.4129,0.1132
60.0000,17956398455447230034,0.0279,0.2358,0.0000,0.1102,0.0000,0.0836,0.0768,0.1895,0.5000,0.5000,0.2091,0.6534,0.3798,0.0000,0.3923,0.1368
60.0000,16987285649723215094,0.0908,0.0000,0.0000,0.0555,0.0000,0.1785,0.1576,0.4000,0.1613,0.5000,0.8072,0.7565,0.4468,0.0000,0.3776,0.2097
60.0000,4195892909269590630,0.0929,0.0000,0.0000,0.1366,0.0000,0.2332,0.2206,0.4000,0.1613,0.5000,0.8285,0.4569,0.3978,0.0000,0.4458,0.2215
60.0000,18008095628694403119,0.0861,0.1367,0.0000,0.0661,0.0000,0.2500,0.2332,0.4000,0.1613,0.5000,0.4729,0.7547,0.7705,0.0000,0.3506,0.3062
60.0000,11505336444399033934,0.0841,0.0000,0.0000,0.0476,0.5000,0.0370,0.0315,0.1895,0.5000,0.5000,0.5306,0.1749,0.7628,0.0000,0.3858,0.0522
60.0000,2155553750466115307,0.0908,0.0000,0.0000,0.0555,0.0000,0.2619,0.2410,0.4000,0.1613,0.5000,0.7818,0.8967,0.5628,0.0000,0.3776,0.3062
60.0000,13635694748777492521,0.0480,0.1103,0.0416,0.1177,0.0000,0.1052,0.0954,0.4000,0.1613,0.5000,0.5643,0.6773,0.4259,0.0000,0.4479,0.1368
60.0000,13742414790205096545,0.0972,0.2223,0.0000,0.1092,0.0000,0.0912,0.0545,0.1895,0.5000,0.5000,0.8854,0.2742,0.2857,0.0000,0.4186,0.1241
60.0000,14511019579661999612,0.0841,0.0626,0.0000,0.1228,0.5000,0.0416,0.0245,0.1895,0.5000,0.5000,0.7013,0.3623,0.3163,0.0000,0.3694,0.0504
60.0000,17276081402645712423,0.0841,0.0626,0.0000,0.1224,0.0000,0.0271,0.0101,0.1895,0.5000,0.5000,0.7325,0.3971,0.3639,0.0000,0.3694,0.0285
60.0000,8644066142010575678,0.0690,0.0000,0.0000,0.1485,0.0000,0.1688,0.1548,0.1895,0.5000,0.5000,0.8845,0.3945,0.6279,0.0000,0.4156,0.2206
60.0000,11277311446747027533,0.0989,0.1133,0.0000,0.0829,0.0000,0.1254,0.1034,0.1895,0.5000,0.5000,0.5671,0.7537,0.4080,0.0000,0.3784,0.1250
60.0000,17624217664554316359,0.0480,0.1103,0.0416,0.1177,0.0000,0.1052,0.0954,0.4000,0.1613,0.5000,0.6099,0.7436,0.3681,0.0000,0.4479,0.1368
60.0000,13357850930277346928,0.0310,0.0000,0.0000,0.1477,0.0000,0.1122,0.1093,0.4000,0.1613,0.5000,0.7767,0.5760,0.3123,0.0000,0.4381,0.2215
60.0000,5569228393464397759,0.0861,0.1367,0.0000,0.0661,0.0000,0.2040,0.1871,0.4000,0.1613,0.5000,0.5992,0.7192,0.7641,0.0000,0.3506,0.2197
60.0000,10506920614352794786,0.0439,0.1077,0.0361,0.0330,0.0000,0.0215,0.0181,0.1895,0.5000,0.5000,0.6461,0.6634,0.5128,0.0000,0.3852,0.0403
60.0000,15577457156805844142,0.0270,0.0000,0.0000,0.0420,0.5000,0.1183,0.1049,0.1895,0.5000,0.5000,0.3113,0.1099,0.6413,0.0000,0.4049,0.1368
60.0000,5051986735650898850,0.0270,0.0000,0.0000,0.0420,0.5000,0.1914,0.1780,0.1895,0.5000,0.5000,0.2834,0.1155,0.7025,0.0000,0.4049,0.2206
60.0000,4983236798599409267,0.0770,0.0000,0.0000,0.0767,0.0000,0.1730,0.1642,0.4000,0.1613,0.5000,0.8328,0.5737,0.5531,0.0000,0.4087,0.2197
60.0000,10317414026223131294,0.0530,0.0341,0.0635,0.0578,0.0000,0.1892,0.1662,0.4000,0.1613,0.5000,0.3845,0.7121,0.4111,0.0000,0.3502,0.2088
60.0000,9766497791412630402,0.1314,0.0000,0.0000,0.0843,0.5000,0.0757,0.0567,0.4000,0.1613,0.5000,0.7690,0.3035,0.2008,0.0000,0.3586,0.1132
60.0000,11716993873663408916,0.0286,0.0804,0.0776,0.1414,0.0000,0.0238,0.0158,0.1895,0.5000,0.5000,0.2741,0.4389,0.1533,0.0000,0.3856,0.0285
60.0000,9974958931573818121,0.0270,0.0000,0.0000,0.0420,0.0000,0.0367,0.0233,0.1895,0.5000,0.5000,0.2609,0.1382,0.6654,0.0000,0.4049,0.0504
60.0000,18347678696791023134,0.0202,0.2041,0.0000,0.1271,0.0000,0.1628,0.1553,0.4000,0.1613,0.5000,0.4440,0.7281,0.2590,0.0000,0.4018,0.2215
60.0000,17778360513094239162,0.0705,0.0821,0.0743,0.1278,0.5000,0.0989,0.0843,0.4000,0.1613,0.5000,0.2051,0.6853,0.2245,0.0000,0.4129,0.1132
60.0000,3316187175944970781,0.0861,0.1367,0.0000,0.0661,0.0000,0.2049,0.1881,0.4000,0.1613,0.5000,0.6298,0.7532,0.8509,0.0000,0.3506,0.2215
